Line #,State abbreviation,State name,Congressional district, Citizen voting-age population Estimate , Citizen voting-age population Margin of error (MOE) , Men Estimate , Men Margin of error (MOE) , Men Percent of total , Men Percent of total margin of error (MOE) , Women Estimate , Women Margin of error (MOE) , Women Percent of total , Women Percent of total margin of error (MOE) ,Poverty universe1,Poverty universe margin of error (MOE), Below poverty level Estimate , Below poverty level Margin of error (MOE) , Below poverty level Percent of total , Below poverty level Percent of total margin of error (MOE) ,,,,,,,,,,,
1,AL,Alabama,1," 544,464 "," 3,424 "," 256,603 "," 2,312 ", 47.1 , 0.3 ," 287,861 "," 2,175 ", 52.9 , 0.3 ," 532,906 "," 4,244 "," 76,483 "," 6,772 ", 14.4 , 1.3 ,,,,,,,,,,,
2,AL,Alabama,2," 516,295 "," 5,674 "," 243,971 "," 3,467 ", 47.3 , 0.4 ," 272,324 "," 3,369 ", 52.7 , 0.4 ," 498,215 "," 6,078 "," 75,815 "," 5,500 ", 15.2 , 1.1 ,,,,,,,,,,,
3,AL,Alabama,3," 543,854 "," 4,099 "," 261,066 "," 2,813 ", 48.0 , 0.3 ," 282,788 "," 2,387 ", 52.0 , 0.3 ," 526,264 "," 4,581 "," 88,748 "," 6,737 ", 16.9 , 1.3 ,,,,,,,,,,,
4,AL,Alabama,4," 515,701 "," 4,678 "," 248,166 "," 3,029 ", 48.1 , 0.3 ," 267,535 "," 2,859 ", 51.9 , 0.3 ," 509,407 "," 4,836 "," 70,775 "," 4,705 ", 13.9 , 0.9 ,,,,,,,,,,,
5,AL,Alabama,5," 551,968 "," 2,121 "," 267,633 "," 1,788 ", 48.5 , 0.2 ," 284,335 "," 1,610 ", 51.5 , 0.2 ," 537,668 "," 2,826 "," 61,196 "," 5,668 ", 11.4 , 1.1 ,,,,,,,,,,,
6,AL,Alabama,6," 535,753 "," 7,635 "," 255,440 "," 5,227 ", 47.7 , 0.5 ," 280,313 "," 4,313 ", 52.3 , 0.5 ," 524,830 "," 7,733 "," 48,300 "," 4,906 ", 9.2 , 1.0 ,,,,,,,,,,,
7,AL,Alabama,7," 504,177 "," 9,052 "," 230,516 "," 5,232 ", 45.7 , 0.6 ," 273,661 "," 5,749 ", 54.3 , 0.6 ," 481,363 "," 9,041 "," 103,655 "," 6,623 ", 21.5 , 1.4 ,,,,,,,,,,,
8,AK,Alaska,At-large," 532,244 "," 2,539 "," 279,792 "," 1,890 ", 52.6 , 0.3 ," 252,452 "," 2,008 ", 47.4 , 0.3 ," 519,019 "," 2,513 "," 51,051 "," 4,246 ", 9.8 , 0.8 ,,,,,,,,,,,
9,AZ,Arizona,1," 568,661 "," 9,203 "," 283,123 "," 6,171 ", 49.8 , 0.6 ," 285,538 "," 4,989 ", 50.2 , 0.6 ," 536,962 "," 8,900 "," 89,883 "," 5,688 ", 16.7 , 1.0 ,,,,,,,,,,,
10,AZ,Arizona,2," 550,044 "," 9,439 "," 267,865 "," 6,098 ", 48.7 , 0.6 ," 282,179 "," 5,352 ", 51.3 , 0.6 ," 533,913 "," 9,463 "," 62,901 "," 5,465 ", 11.8 , 0.9 ,,,,,,,,,,,
11,AZ,Arizona,3," 500,787 "," 12,277 "," 256,566 "," 8,010 ", 51.2 , 0.9 ," 244,221 "," 7,182 ", 48.8 , 0.9 ," 478,150 "," 12,581 "," 72,311 "," 5,536 ", 15.1 , 1.1 ,,,,,,,,,,,
12,AZ,Arizona,4," 633,528 "," 10,386 "," 318,974 "," 6,574 ", 50.3 , 0.5 ," 314,554 "," 5,561 ", 49.7 , 0.5 ," 610,113 "," 10,165 "," 68,749 "," 5,492 ", 11.3 , 0.9 ,,,,,,,,,,,
13,AZ,Arizona,5," 587,681 "," 10,348 "," 283,913 "," 7,022 ", 48.3 , 0.7 ," 303,768 "," 6,090 ", 51.7 , 0.7 ," 586,067 "," 10,340 "," 37,227 "," 3,805 ", 6.4 , 0.7 ,,,,,,,,,,,
14,AZ,Arizona,6," 577,899 "," 11,084 "," 279,903 "," 8,198 ", 48.4 , 0.9 ," 297,996 "," 7,108 ", 51.6 , 0.9 ," 576,110 "," 11,153 "," 44,701 "," 4,473 ", 7.8 , 0.8 ,,,,,,,,,,,
15,AZ,Arizona,7," 454,957 "," 12,175 "," 226,970 "," 6,665 ", 49.9 , 0.9 ," 227,987 "," 8,151 ", 50.1 , 0.9 ," 447,394 "," 11,913 "," 67,279 "," 4,979 ", 15.0 , 1.1 ,,,,,,,,,,,
16,AZ,Arizona,8," 599,423 "," 9,645 "," 281,157 "," 6,225 ", 46.9 , 0.7 ," 318,266 "," 6,284 ", 53.1 , 0.7 ," 589,749 "," 9,795 "," 38,999 "," 4,187 ", 6.6 , 0.7 ,,,,,,,,,,,
17,AZ,Arizona,9," 562,791 "," 12,216 "," 280,089 "," 8,148 ", 49.8 , 0.9 ," 282,702 "," 7,499 ", 50.2 , 0.9 ," 552,135 "," 12,608 "," 60,388 "," 4,974 ", 10.9 , 0.9 ,,,,,,,,,,,
18,AR,Arkansas,1," 548,710 "," 3,198 "," 270,423 "," 2,348 ", 49.3 , 0.3 ," 278,287 "," 1,897 ", 50.7 , 0.3 ," 522,923 "," 3,506 "," 89,589 "," 5,251 ", 17.1 , 1.0 ,,,,,,,,,,,
19,AR,Arkansas,2," 570,220 "," 3,398 "," 271,053 "," 2,181 ", 47.5 , 0.3 ," 299,167 "," 2,511 ", 52.5 , 0.3 ," 555,802 "," 3,856 "," 75,688 "," 5,860 ", 13.6 , 1.1 ,,,,,,,,,,,
20,AR,Arkansas,3," 573,113 "," 5,357 "," 277,923 "," 3,639 ", 48.5 , 0.4 ," 295,190 "," 3,363 ", 51.5 , 0.4 ," 557,687 "," 5,401 "," 67,436 "," 5,680 ", 12.1 , 1.0 ,,,,,,,,,,,
21,AR,Arkansas,4," 532,069 "," 4,667 "," 255,252 "," 2,971 ", 48.0 , 0.3 ," 276,817 "," 2,607 ", 52.0 , 0.3 ," 514,124 "," 4,920 "," 86,232 "," 6,853 ", 16.8 , 1.3 ,,,,,,,,,,,
22,CA,California,1," 553,702 "," 4,675 "," 276,469 "," 2,969 ", 49.9 , 0.3 ," 277,233 "," 3,061 ", 50.1 , 0.3 ," 534,889 "," 5,042 "," 77,504 "," 4,840 ", 14.5 , 0.9 ,,,,,,,,,,,
23,CA,California,2," 534,951 "," 6,691 "," 262,941 "," 4,598 ", 49.2 , 0.5 ," 272,010 "," 3,923 ", 50.8 , 0.5 ," 522,186 "," 7,371 "," 53,649 "," 3,970 ", 10.3 , 0.8 ,,,,,,,,,,,
24,CA,California,3," 504,299 "," 7,222 "," 246,961 "," 4,640 ", 49.0 , 0.7 ," 257,338 "," 5,113 ", 51.0 , 0.7 ," 489,655 "," 7,602 "," 65,293 "," 4,484 ", 13.3 , 0.9 ,,,,,,,,,,,
25,CA,California,4," 573,118 "," 5,649 "," 286,496 "," 3,641 ", 50.0 , 0.4 ," 286,622 "," 3,758 ", 50.0 , 0.4 ," 562,791 "," 6,131 "," 44,632 "," 5,194 ", 7.9 , 0.9 ,,,,,,,,,,,
26,CA,California,5," 508,369 "," 9,829 "," 242,276 "," 6,539 ", 47.7 , 0.7 ," 266,093 "," 5,746 ", 52.3 , 0.7 ," 501,445 "," 9,889 "," 41,040 "," 4,182 ", 8.2 , 0.8 ,,,,,,,,,,,
27,CA,California,6," 506,434 "," 10,206 "," 244,392 "," 6,051 ", 48.3 , 0.7 ," 262,042 "," 6,527 ", 51.7 , 0.7 ," 499,803 "," 9,972 "," 64,734 "," 4,900 ", 13.0 , 1.0 ,,,,,,,,,,,
28,CA,California,7," 537,436 "," 8,063 "," 259,003 "," 5,089 ", 48.2 , 0.6 ," 278,433 "," 4,941 ", 51.8 , 0.6 ," 530,517 "," 8,122 "," 50,715 "," 4,413 ", 9.6 , 0.8 ,,,,,,,,,,,
29,CA,California,8," 477,512 "," 10,385 "," 240,107 "," 6,199 ", 50.3 , 0.9 ," 237,405 "," 7,155 ", 49.7 , 0.9 ," 465,044 "," 10,343 "," 68,015 "," 6,501 ", 14.6 , 1.4 ,,,,,,,,,,,
30,CA,California,9," 482,967 "," 8,819 "," 234,940 "," 5,691 ", 48.6 , 0.7 ," 248,027 "," 5,620 ", 51.4 , 0.7 ," 473,224 "," 8,657 "," 50,332 "," 4,964 ", 10.6 , 1.1 ,,,,,,,,,,,
31,CA,California,10," 493,409 "," 7,043 "," 242,938 "," 4,435 ", 49.2 , 0.5 ," 250,471 "," 4,053 ", 50.8 , 0.5 ," 488,503 "," 7,105 "," 51,924 "," 5,671 ", 10.6 , 1.2 ,,,,,,,,,,,
32,CA,California,11," 508,963 "," 9,040 "," 245,241 "," 5,449 ", 48.2 , 0.7 ," 263,722 "," 5,808 ", 51.8 , 0.7 ," 503,806 "," 9,122 "," 35,217 "," 3,654 ", 7.0 , 0.7 ,,,,,,,,,,,
33,CA,California,12," 571,300 "," 7,542 "," 292,211 "," 5,544 ", 51.1 , 0.6 ," 279,089 "," 4,327 ", 48.9 , 0.6 ," 563,530 "," 7,499 "," 54,323 "," 4,915 ", 9.6 , 0.9 ,,,,,,,,,,,
34,CA,California,13," 536,892 "," 6,882 "," 253,135 "," 4,547 ", 47.1 , 0.6 ," 283,757 "," 4,957 ", 52.9 , 0.6 ," 523,587 "," 7,174 "," 59,812 "," 4,745 ", 11.4 , 0.9 ,,,,,,,,,,,
35,CA,California,14," 511,049 "," 8,400 "," 249,886 "," 6,515 ", 48.9 , 0.7 ," 261,163 "," 4,555 ", 51.1 , 0.7 ," 505,623 "," 8,493 "," 30,509 "," 2,863 ", 6.0 , 0.5 ,,,,,,,,,,,
36,CA,California,15," 503,361 "," 8,070 "," 248,705 "," 4,834 ", 49.4 , 0.6 ," 254,656 "," 5,383 ", 50.6 , 0.6 ," 498,277 "," 8,069 "," 24,930 "," 3,251 ", 5.0 , 0.6 ,,,,,,,,,,,
37,CA,California,16," 423,147 "," 10,984 "," 210,027 "," 6,857 ", 49.6 , 0.7 ," 213,120 "," 5,711 ", 50.4 , 0.7 ," 406,162 "," 11,155 "," 81,954 "," 6,426 ", 20.2 , 1.4 ,,,,,,,,,,,
38,CA,California,17," 438,374 "," 13,412 "," 224,282 "," 8,081 ", 51.2 , 1.0 ," 214,092 "," 7,881 ", 48.8 , 1.0 ," 430,314 "," 13,028 "," 28,312 "," 4,135 ", 6.6 , 0.9 ,,,,,,,,,,,
39,CA,California,18," 491,580 "," 9,611 "," 239,626 "," 5,593 ", 48.7 , 0.6 ," 251,954 "," 5,864 ", 51.3 , 0.6 ," 480,245 "," 9,471 "," 28,612 "," 3,592 ", 6.0 , 0.8 ,,,,,,,,,,,
40,CA,California,19," 482,363 "," 9,857 "," 238,475 "," 6,612 ", 49.4 , 0.7 ," 243,888 "," 5,424 ", 50.6 , 0.7 ," 477,211 "," 9,705 "," 36,308 "," 3,811 ", 7.6 , 0.8 ,,,,,,,,,,,
41,CA,California,20," 434,889 "," 8,953 "," 216,679 "," 5,540 ", 49.8 , 0.7 ," 218,210 "," 5,052 ", 50.2 , 0.7 ," 411,682 "," 9,452 "," 38,475 "," 4,501 ", 9.3 , 1.0 ,,,,,,,,,,,
42,CA,California,21," 354,669 "," 11,267 "," 190,018 "," 7,101 ", 53.6 , 1.2 ," 164,651 "," 6,814 ", 46.4 , 1.2 ," 323,856 "," 10,657 "," 57,483 "," 5,123 ", 17.7 , 1.6 ,,,,,,,,,,,
43,CA,California,22," 483,064 "," 10,845 "," 228,078 "," 6,372 ", 47.2 , 0.6 ," 254,986 "," 5,888 ", 52.8 , 0.6 ," 478,408 "," 10,916 "," 58,757 "," 6,468 ", 12.3 , 1.3 ,,,,,,,,,,,
44,CA,California,23," 490,446 "," 10,566 "," 247,112 "," 7,052 ", 50.4 , 0.8 ," 243,334 "," 5,849 ", 49.6 , 0.8 ," 477,323 "," 10,724 "," 75,310 "," 5,611 ", 15.8 , 1.1 ,,,,,,,,,,,
45,CA,California,24," 508,333 "," 5,576 "," 253,408 "," 3,820 ", 49.9 , 0.5 ," 254,925 "," 3,671 ", 50.1 , 0.5 ," 478,763 "," 6,420 "," 60,133 "," 5,044 ", 12.6 , 1.1 ,,,,,,,,,,,
46,CA,California,25," 482,964 "," 10,876 "," 235,314 "," 5,360 ", 48.7 , 0.8 ," 247,650 "," 7,866 ", 51.3 , 0.8 ," 475,581 "," 11,020 "," 48,804 "," 5,230 ", 10.3 , 1.1 ,,,,,,,,,,,
47,CA,California,26," 480,928 "," 6,034 "," 235,049 "," 3,891 ", 48.9 , 0.5 ," 245,879 "," 3,934 ", 51.1 , 0.5 ," 471,915 "," 6,282 "," 33,106 "," 3,570 ", 7.0 , 0.7 ,,,,,,,,,,,
48,CA,California,27," 471,963 "," 11,108 "," 224,505 "," 6,671 ", 47.6 , 0.8 ," 247,458 "," 6,853 ", 52.4 , 0.8 ," 463,381 "," 11,037 "," 41,601 "," 4,207 ", 9.0 , 0.9 ,,,,,,,,,,,
49,CA,California,28," 502,971 "," 13,353 "," 246,827 "," 6,961 ", 49.1 , 1.0 ," 256,144 "," 9,403 ", 50.9 , 1.0 ," 499,140 "," 13,270 "," 53,429 "," 4,396 ", 10.7 , 0.9 ,,,,,,,,,,,
50,CA,California,29," 402,898 "," 11,545 "," 196,524 "," 6,940 ", 48.8 , 1.0 ," 206,374 "," 7,295 ", 51.2 , 1.0 ," 399,807 "," 11,758 "," 45,157 "," 4,691 ", 11.3 , 1.1 ,,,,,,,,,,,
51,CA,California,30," 529,846 "," 14,610 "," 256,236 "," 8,348 ", 48.4 , 0.8 ," 273,610 "," 8,293 ", 51.6 , 0.8 ," 523,743 "," 14,740 "," 43,908 "," 5,126 ", 8.4 , 0.9 ,,,,,,,,,,,
52,CA,California,31," 482,081 "," 9,659 "," 230,379 "," 6,084 ", 47.8 , 0.9 ," 251,702 "," 6,755 ", 52.2 , 0.9 ," 464,860 "," 11,220 "," 51,108 "," 5,086 ", 11.0 , 1.1 ,,,,,,,,,,,
53,CA,California,32," 449,452 "," 11,398 "," 213,040 "," 6,823 ", 47.4 , 0.8 ," 236,412 "," 6,640 ", 52.6 , 0.8 ," 441,456 "," 11,301 "," 38,130 "," 3,906 ", 8.6 , 0.9 ,,,,,,,,,,,
54,CA,California,33," 517,251 "," 10,427 "," 251,819 "," 6,843 ", 48.7 , 0.8 ," 265,432 "," 6,356 ", 51.3 , 0.8 ," 500,426 "," 10,347 "," 37,349 "," 3,632 ", 7.5 , 0.7 ,,,,,,,,,,,
55,CA,California,34," 425,520 "," 11,922 "," 215,755 "," 8,468 ", 50.7 , 1.1 ," 209,765 "," 6,391 ", 49.3 , 1.1 ," 408,807 "," 11,387 "," 70,687 "," 5,958 ", 17.3 , 1.4 ,,,,,,,,,,,
56,CA,California,35," 450,565 "," 12,666 "," 220,837 "," 7,786 ", 49.0 , 1.0 ," 229,728 "," 7,626 ", 51.0 , 1.0 ," 440,052 "," 12,527 "," 41,460 "," 4,566 ", 9.4 , 1.0 ,,,,,,,,,,,
57,CA,California,36," 536,333 "," 9,648 "," 262,414 "," 7,174 ", 48.9 , 0.8 ," 273,919 "," 5,977 ", 51.1 , 0.8 ," 528,270 "," 9,520 "," 68,097 "," 6,020 ", 12.9 , 1.1 ,,,,,,,,,,,
58,CA,California,37," 468,463 "," 13,452 "," 223,584 "," 8,506 ", 47.7 , 1.0 ," 244,879 "," 7,863 ", 52.3 , 1.0 ," 459,415 "," 13,286 "," 61,771 "," 5,043 ", 13.4 , 1.0 ,,,,,,,,,,,
59,CA,California,38," 481,296 "," 10,991 "," 233,542 "," 7,350 ", 48.5 , 0.9 ," 247,754 "," 6,716 ", 51.5 , 0.9 ," 474,994 "," 10,896 "," 38,012 "," 5,583 ", 8.0 , 1.2 ,,,,,,,,,,,
60,CA,California,39," 486,713 "," 10,190 "," 233,873 "," 6,762 ", 48.1 , 0.9 ," 252,840 "," 6,377 ", 51.9 , 0.9 ," 482,420 "," 10,057 "," 32,182 "," 3,372 ", 6.7 , 0.7 ,,,,,,,,,,,
61,CA,California,40," 340,435 "," 9,624 "," 165,988 "," 6,467 ", 48.8 , 1.1 ," 174,447 "," 5,851 ", 51.2 , 1.1 ," 338,726 "," 9,589 "," 46,300 "," 4,533 ", 13.7 , 1.3 ,,,,,,,,,,,
62,CA,California,41," 478,613 "," 8,532 "," 237,023 "," 6,912 ", 49.5 , 0.9 ," 241,590 "," 5,435 ", 50.5 , 0.9 ," 463,587 "," 9,887 "," 51,104 "," 5,222 ", 11.0 , 1.1 ,,,,,,,,,,,
63,CA,California,42," 538,265 "," 9,226 "," 269,677 "," 5,862 ", 50.1 , 0.7 ," 268,588 "," 6,355 ", 49.9 , 0.7 ," 533,812 "," 9,128 "," 38,700 "," 5,064 ", 7.2 , 0.9 ,,,,,,,,,,,
64,CA,California,43," 454,185 "," 11,440 "," 213,003 "," 7,075 ", 46.9 , 1.0 ," 241,182 "," 7,564 ", 53.1 , 1.0 ," 448,459 "," 11,267 "," 48,133 "," 4,866 ", 10.7 , 1.1 ,,,,,,,,,,,
65,CA,California,44," 395,819 "," 8,661 "," 188,238 "," 6,714 ", 47.6 , 1.1 ," 207,581 "," 5,575 ", 52.4 , 1.1 ," 391,379 "," 8,490 "," 54,905 "," 5,066 ", 14.0 , 1.3 ,,,,,,,,,,,
66,CA,California,45," 532,802 "," 12,285 "," 259,823 "," 7,055 ", 48.8 , 0.8 ," 272,979 "," 7,634 ", 51.2 , 0.8 ," 524,647 "," 12,176 "," 38,768 "," 4,434 ", 7.4 , 0.8 ,,,,,,,,,,,
67,CA,California,46," 408,633 "," 10,145 "," 201,808 "," 6,368 ", 49.4 , 1.0 ," 206,825 "," 6,496 ", 50.6 , 1.0 ," 397,295 "," 10,166 "," 45,856 "," 5,234 ", 11.5 , 1.3 ,,,,,,,,,,,
68,CA,California,47," 491,712 "," 10,923 "," 239,510 "," 6,898 ", 48.7 , 0.9 ," 252,202 "," 7,278 ", 51.3 , 0.9 ," 486,226 "," 10,666 "," 50,414 "," 3,717 ", 10.4 , 0.8 ,,,,,,,,,,,
69,CA,California,48," 529,832 "," 8,764 "," 261,462 "," 6,320 ", 49.3 , 0.8 ," 268,370 "," 5,513 ", 50.7 , 0.8 ," 528,025 "," 8,793 "," 41,904 "," 4,418 ", 7.9 , 0.8 ,,,,,,,,,,,
70,CA,California,49," 519,302 "," 10,212 "," 259,293 "," 6,474 ", 49.9 , 0.9 ," 260,009 "," 7,038 ", 50.1 , 0.9 ," 502,167 "," 10,387 "," 31,322 "," 5,122 ", 6.2 , 1.0 ,,,,,,,,,,,
71,CA,California,50," 513,522 "," 11,367 "," 254,481 "," 7,601 ", 49.6 , 0.8 ," 259,041 "," 6,370 ", 50.4 , 0.8 ," 508,243 "," 11,212 "," 42,991 "," 4,754 ", 8.5 , 1.0 ,,,,,,,,,,,
72,CA,California,51," 445,034 "," 11,226 "," 231,666 "," 7,618 ", 52.1 , 1.0 ," 213,368 "," 6,634 ", 47.9 , 1.0 ," 417,314 "," 11,958 "," 61,130 "," 6,688 ", 14.6 , 1.6 ,,,,,,,,,,,
73,CA,California,52," 546,843 "," 12,471 "," 277,751 "," 9,220 ", 50.8 , 0.9 ," 269,092 "," 6,748 ", 49.2 , 0.9 ," 523,070 "," 12,155 "," 39,255 "," 3,936 ", 7.5 , 0.7 ,,,,,,,,,,,
74,CA,California,53," 563,962 "," 15,636 "," 280,508 "," 10,328 ", 49.7 , 0.9 ," 283,454 "," 8,167 ", 50.3 , 0.9 ," 555,546 "," 16,080 "," 53,727 "," 5,554 ", 9.7 , 0.9 ,,,,,,,,,,,
75,CO,Colorado,1," 619,349 "," 5,507 "," 309,603 "," 3,994 ", 50.0 , 0.4 ," 309,746 "," 3,290 ", 50.0 , 0.4 ," 607,672 "," 5,675 "," 55,734 "," 4,605 ", 9.2 , 0.8 ,,,,,,,,,,,
76,CO,Colorado,2," 619,285 "," 6,451 "," 309,961 "," 4,913 ", 50.1 , 0.5 ," 309,324 "," 3,636 ", 49.9 , 0.5 ," 599,732 "," 6,564 "," 58,303 "," 4,857 ", 9.7 , 0.8 ,,,,,,,,,,,
77,CO,Colorado,3," 565,901 "," 5,796 "," 280,001 "," 4,197 ", 49.5 , 0.5 ," 285,900 "," 3,496 ", 50.5 , 0.5 ," 552,902 "," 6,002 "," 67,233 "," 5,536 ", 12.2 , 1.0 ,,,,,,,,,,,
78,CO,Colorado,4," 598,599 "," 5,986 "," 302,689 "," 3,601 ", 50.6 , 0.4 ," 295,910 "," 3,924 ", 49.4 , 0.4 ," 583,283 "," 6,102 "," 44,288 "," 3,525 ", 7.6 , 0.6 ,,,,,,,,,,,
79,CO,Colorado,5," 603,967 "," 3,639 "," 309,714 "," 2,478 ", 51.3 , 0.3 ," 294,253 "," 2,672 ", 48.7 , 0.3 ," 575,663 "," 4,543 "," 48,574 "," 3,919 ", 8.4 , 0.7 ,,,,,,,,,,,
80,CO,Colorado,6," 567,801 "," 9,080 "," 277,947 "," 5,518 ", 49.0 , 0.5 ," 289,854 "," 4,919 ", 51.0 , 0.5 ," 562,482 "," 9,457 "," 30,122 "," 3,293 ", 5.4 , 0.6 ,,,,,,,,,,,
81,CO,Colorado,7," 576,138 "," 8,222 "," 283,711 "," 4,765 ", 49.2 , 0.4 ," 292,427 "," 4,847 ", 50.8 , 0.4 ," 567,731 "," 8,060 "," 43,603 "," 5,151 ", 7.7 , 0.9 ,,,,,,,,,,,
82,CT,Connecticut,1," 523,004 "," 7,034 "," 247,490 "," 4,891 ", 47.3 , 0.5 ," 275,514 "," 4,099 ", 52.7 , 0.5 ," 513,017 "," 7,109 "," 48,741 "," 3,958 ", 9.5 , 0.8 ,,,,,,,,,,,
83,CT,Connecticut,2," 548,572 "," 5,593 "," 272,014 "," 3,805 ", 49.6 , 0.4 ," 276,558 "," 3,576 ", 50.4 , 0.4 ," 512,850 "," 5,646 "," 42,018 "," 3,926 ", 8.2 , 0.8 ,,,,,,,,,,,
84,CT,Connecticut,3," 535,024 "," 7,312 "," 251,948 "," 4,826 ", 47.1 , 0.6 ," 283,076 "," 4,528 ", 52.9 , 0.6 ," 511,818 "," 7,679 "," 49,435 "," 4,673 ", 9.7 , 0.9 ,,,,,,,,,,,
