,District,State abbreviation,State name,Congressional district,Votes cast for congressional reps for the Nov 2018 election,Citizen voting-age population Estimate,Voting Rate Estimate
0,AL-1,AL,Alabama,1,242617,544464,44.6
1,AL-2,AL,Alabama,2,226230,516295,43.8
2,AL-3,AL,Alabama,3,231915,543854,42.6
3,AL-4,AL,Alabama,4,230969,515701,44.8
4,AL-5,AL,Alabama,5,260673,551968,47.2
5,AL-6,AL,Alabama,6,278328,535753,52.0
6,AL-7,AL,Alabama,7,189163,504177,37.5
7,AK-At-large,AK,Alaska,At-large,282166,532244,53.0
8,AZ-1,AZ,Arizona,1,266089,568661,46.8
9,AZ-2,AZ,Arizona,2,294152,550044,53.5
10,AZ-3,AZ,Arizona,3,179518,500787,35.8
11,AZ-4,AZ,Arizona,4,277035,633528,43.7
12,AZ-5,AZ,Arizona,5,313064,587681,53.3
13,AZ-6,AZ,Arizona,6,313699,577899,54.3
14,AZ-7,AZ,Arizona,7,132051,454957,29.0
15,AZ-8,AZ,Arizona,8,304417,599423,50.8
16,AZ-9,AZ,Arizona,9,261245,562791,46.4
17,AR-1,AR,Arkansas,1,201245,548710,36.7
18,AR-2,AR,Arkansas,2,253453,570220,44.4
19,AR-3,AR,Arkansas,3,229568,573113,40.1
20,AR-4,AR,Arkansas,4,204892,532069,38.5
21,CA-1,CA,California,1,291594,553702,52.7
22,CA-2,CA,California,2,315657,534951,59.0
23,CA-3,CA,California,3,232251,504299,46.1
24,CA-4,CA,California,4,340654,573118,59.4
25,CA-5,CA,California,5,261018,508369,51.3
26,CA-6,CA,California,6,201939,506434,39.9
27,CA-7,CA,California,7,281617,537436,52.4
28,CA-8,CA,California,8,170785,477512,35.8
29,CA-9,CA,California,9,200763,482967,41.6
30,CA-10,CA,California,10,221900,493409,45.0
31,CA-11,CA,California,11,275681,508963,54.2
32,CA-12,CA,California,12,317072,571300,55.5
33,CA-13,CA,California,13,294837,536892,54.9
34,CA-14,CA,California,14,266823,511049,52.2
35,CA-15,CA,California,15,243929,503361,48.5
36,CA-16,CA,California,16,142959,423147,33.8
37,CA-17,CA,California,17,211162,438374,48.2
38,CA-18,CA,California,18,302238,491580,61.5
39,CA-19,CA,California,19,220319,482363,45.7
40,CA-20,CA,California,20,225721,434889,51.9
41,CA-21,CA,California,21,113616,354669,32.0
42,CA-22,CA,California,22,222379,483064,46.0
43,CA-23,CA,California,23,205774,490446,42.0
44,CA-24,CA,California,24,284431,508333,56.0
45,CA-25,CA,California,25,245022,482964,50.7
46,CA-26,CA,California,26,255426,480928,53.1
47,CA-27,CA,California,27,202636,471963,42.9
48,CA-28,CA,California,28,250934,502971,49.9
49,CA-29,CA,California,29,154692,402898,38.4
50,CA-30,CA,California,30,260993,529846,49.3
51,CA-31,CA,California,31,187495,482081,38.9
52,CA-32,CA,California,32,177031,449452,39.4
53,CA-33,CA,California,33,312860,517251,60.5
54,CA-34,CA,California,34,151906,425520,35.7
55,CA-35,CA,California,35,149024,450565,33.1
56,CA-36,CA,California,36,207008,536333,38.6
57,CA-37,CA,California,37,236378,468463,50.5
58,CA-38,CA,California,38,202156,481296,42.0
59,CA-39,CA,California,39,244393,486713,50.2
60,CA-40,CA,California,40,121449,340435,35.7
61,CA-41,CA,California,41,166248,478613,34.7
62,CA-42,CA,California,42,231932,538265,43.1
63,CA-43,CA,California,43,196052,454185,43.2
64,CA-44,CA,California,44,143322,395819,36.2
65,CA-45,CA,California,45,305289,532802,57.3
66,CA-46,CA,California,46,147916,408633,36.2
67,CA-47,CA,California,47,221036,491712,45.0
68,CA-48,CA,California,48,294736,529832,55.6
69,CA-49,CA,California,49,295030,519302,56.8
70,CA-50,CA,California,50,259810,513522,50.6
71,CA-51,CA,California,51,153828,445034,34.6
72,CA-52,CA,California,52,296007,546843,54.1
73,CA-53,CA,California,53,268794,563962,47.7
74,CO-1,CO,Colorado,1,369715,619349,59.7
75,CO-2,CO,Colorado,2,430765,619285,69.6
76,CO-3,CO,Colorado,3,336201,565901,59.4
77,CO-4,CO,Colorado,4,369621,598599,61.7
78,CO-5,CO,Colorado,5,322716,603967,53.4
79,CO-6,CO,Colorado,6,346822,567801,61.1
80,CO-7,CO,Colorado,7,338067,576138,58.7
81,CT-1,CT,Connecticut,1,274140,523004,52.4
82,CT-2,CT,Connecticut,2,289114,548572,52.7
83,CT-3,CT,Connecticut,3,270239,535024,50.5
84,CT-4,CT,Connecticut,4,275651,496370,55.5
85,CT-5,CT,Connecticut,5,270664,511395,52.9
86,DE-At-large,DE,Delaware,At-large,353814,720867,49.1
87,DC-At-large,DC,District of Columbia,At-large,228769,526393,43.5
88,FL-1,FL,Florida,1,322388,601423,53.6
89,FL-2,FL,Florida,2,295568,573718,51.5
90,FL-3,FL,Florida,3,306496,579993,52.8
91,FL-4,FL,Florida,4,381249,614794,62.0
92,FL-5,FL,Florida,5,270326,541992,49.9
93,FL-6,FL,Florida,6,333649,621566,53.7
94,FL-7,FL,Florida,7,317398,581583,54.6
95,FL-8,FL,Florida,8,360527,610604,59.0
96,FL-9,FL,Florida,9,296737,644898,46.0
97,FL-10,FL,Florida,10,0,546157,0.0
98,FL-11,FL,Florida,11,367506,652135,56.4
99,FL-12,FL,Florida,12,334918,605983,55.3
100,FL-13,FL,Florida,13,316971,584889,54.2
101,FL-14,FL,Florida,14,0,534225,0.0
102,FL-15,FL,Florida,15,285532,578715,49.3
103,FL-16,FL,Florida,16,361946,638769,56.7
104,FL-17,FL,Florida,17,310520,615104,50.5
105,FL-18,FL,Florida,18,342359,599873,57.1
106,FL-19,FL,Florida,19,339607,631233,53.8
107,FL-20,FL,Florida,20,202824,507613,40.0
108,FL-21,FL,Florida,21,0,546101,0.0
109,FL-22,FL,Florida,22,297683,534846,55.7
110,FL-23,FL,Florida,23,276366,510212,54.2
111,FL-24,FL,Florida,24,0,477697,0.0
112,FL-25,FL,Florida,25,212845,453055,47.0
113,FL-26,FL,Florida,26,235475,476033,49.5
114,FL-27,FL,Florida,27,252586,464604,54.4
115,GA-1,GA,Georgia,1,250683,550713,45.5
116,GA-2,GA,Georgia,2,229171,498322,46.0
117,GA-3,GA,Georgia,3,293006,548941,53.4
118,GA-4,GA,Georgia,4,288809,527938,54.7
119,GA-5,GA,Georgia,5,275406,587385,46.9
120,GA-6,GA,Georgia,6,317032,496468,63.9
121,GA-7,GA,Georgia,7,280441,486845,57.6
122,GA-8,GA,Georgia,8,198716,527338,37.7
123,GA-9,GA,Georgia,9,282578,556967,50.7
124,GA-10,GA,Georgia,10,302735,565803,53.5
125,GA-11,GA,Georgia,11,310540,559687,55.5
126,GA-12,GA,Georgia,12,250492,540482,46.3
127,GA-13,GA,Georgia,13,293010,523476,56.0
128,GA-14,GA,Georgia,14,229724,516434,44.5
129,HI-1,HI,Hawaii,1,191667,509992,37.6
130,HI-2,HI,Hawaii,2,206990,506514,40.9
131,ID-1,ID,Idaho,1,315069,661724,47.6
132,ID-2,ID,Idaho,2,280655,590690,47.5
133,IL-1,IL,Illinois,1,257885,524114,49.2
134,IL-2,IL,Illinois,2,235251,497132,47.3
135,IL-3,IL,Illinois,3,223334,479004,46.6
136,IL-4,IL,Illinois,4,166189,410804,40.5
137,IL-5,IL,Illinois,5,279131,545831,51.1
138,IL-6,IL,Illinois,6,315446,523796,60.2
139,IL-7,IL,Illinois,7,246243,522767,47.1
140,IL-8,IL,Illinois,8,197127,442009,44.6
141,IL-9,IL,Illinois,9,290351,498242,58.3
142,IL-10,IL,Illinois,10,238664,468255,51.0
143,IL-11,IL,Illinois,11,227765,472244,48.2
144,IL-12,IL,Illinois,12,261543,528398,49.5
145,IL-13,IL,Illinois,13,270981,539012,50.3
146,IL-14,IL,Illinois,14,297199,525729,56.5
147,IL-15,IL,Illinois,15,255608,532371,48.0
148,IL-16,IL,Illinois,16,255825,520730,49.1
149,IL-17,IL,Illinois,17,229749,512994,44.8
150,IL-18,IL,Illinois,18,291413,531334,54.8
151,IN-1,IN,Indiana,1,245209,537218,45.6
152,IN-2,IN,Indiana,2,228889,522778,43.8
153,IN-3,IN,Indiana,3,245537,540022,45.5
154,IN-4,IN,Indiana,4,244363,567094,43.1
155,IN-5,IN,Indiana,5,317177,573500,55.3
156,IN-6,IN,Indiana,6,241726,549035,44.0
157,IN-7,IN,Indiana,7,217596,521076,41.8
158,IN-8,IN,Indiana,8,244291,549149,44.5
159,IN-9,IN,Indiana,9,271361,575308,47.2
160,IA-1,IA,Iowa,1,334243,580187,57.6
161,IA-2,IA,Iowa,2,312913,581525,53.8
162,IA-3,IA,Iowa,3,356241,601044,59.3
163,IA-4,IA,Iowa,4,313045,564463,55.5
164,KS-1,KS,Kansas,1,224640,502712,44.7
165,KS-2,KS,Kansas,2,264688,538594,49.1
166,KS-3,KS,Kansas,3,318301,534532,59.5
167,KS-4,KS,Kansas,4,242693,515676,47.1
168,KY-1,KY,Kentucky,1,251016,552530,45.4
169,KY-2,KY,Kentucky,2,257345,577362,44.6
170,KY-3,KY,Kentucky,3,278720,553926,50.3
171,KY-4,KY,Kentucky,4,261812,565232,46.3
172,KY-5,KY,Kentucky,5,218017,537877,40.5
173,KY-6,KY,Kentucky,6,302888,581992,52.0
174,LA-1,LA,Louisiana,1,269325,594231,45.3
175,LA-2,LA,Louisiana,2,235982,587115,40.2
176,LA-3,LA,Louisiana,3,245943,577604,42.6
177,LA-4,LA,Louisiana,4,216872,559310,38.8
178,LA-5,LA,Louisiana,5,223946,555804,40.3
179,LA-6,LA,Louisiana,6,268525,585015,45.9
180,ME-1,ME,Maine,1,349963,546625,64.0
181,ME-2,ME,Maine,2,281371,524036,53.7
182,MD-1,MD,Maryland,1,306186,567926,53.9
183,MD-2,MD,Maryland,2,253302,560167,45.2
184,MD-3,MD,Maryland,3,292880,545892,53.7
185,MD-4,MD,Maryland,4,268583,503398,53.4
186,MD-5,MD,Maryland,5,304209,556897,54.6
187,MD-6,MD,Maryland,6,277084,523698,52.9
188,MD-7,MD,Maryland,7,264710,528398,50.1
189,MD-8,MD,Maryland,8,319330,533774,59.8
190,MA-1,MA,Massachusetts,1,275066,568024,48.4
191,MA-2,MA,Massachusetts,2,293163,558962,52.4
192,MA-3,MA,Massachusetts,3,286583,543580,52.7
193,MA-4,MA,Massachusetts,4,322127,559943,57.5
194,MA-5,MA,Massachusetts,5,323836,535109,60.5
195,MA-6,MA,Massachusetts,6,343765,577241,59.6
196,MA-7,MA,Massachusetts,7,249375,558430,44.7
197,MA-8,MA,Massachusetts,8,327380,561241,58.3
198,MA-9,MA,Massachusetts,9,331370,573274,57.8
199,MI-1,MI,Michigan,1,332497,564858,58.9
200,MI-2,MI,Michigan,2,305463,551323,55.4
201,MI-3,MI,Michigan,3,310740,551028,56.4
202,MI-4,MI,Michigan,4,285050,554938,51.4
203,MI-5,MI,Michigan,5,276413,520558,53.1
204,MI-6,MI,Michigan,6,293438,541981,54.1
205,MI-7,MI,Michigan,7,295060,548462,53.8
206,MI-8,MI,Michigan,8,341593,554462,61.6
207,MI-9,MI,Michigan,9,304563,552114,55.2
208,MI-10,MI,Michigan,10,303064,553804,54.7
209,MI-11,MI,Michigan,11,350901,534817,65.6
210,MI-12,MI,Michigan,12,294628,526943,55.9
211,MI-13,MI,Michigan,13,196299,474739,41.3
212,MI-14,MI,Michigan,14,264994,512851,51.7
213,MN-1,MN,Minnesota,1,291661,500330,58.3
214,MN-2,MN,Minnesota,2,337968,511914,66.0
215,MN-3,MN,Minnesota,3,363949,517834,70.3
216,MN-4,MN,Minnesota,4,328614,510862,64.3
217,MN-5,MN,Minnesota,5,343358,517155,66.4
218,MN-6,MN,Minnesota,6,315726,525551,60.1
219,MN-7,MN,Minnesota,7,281509,495727,56.8
220,MN-8,MN,Minnesota,8,314211,527541,59.6
221,MS-1,MS,Mississippi,1,236521,577880,40.9
222,MS-2,MS,Mississippi,2,221379,523479,42.3
223,MS-3,MS,Mississippi,3,257271,559913,45.9
224,MS-4,MS,Mississippi,4,223732,579386,38.6
225,MO-1,MO,Missouri,1,274375,549361,49.9
226,MO-2,MO,Missouri,2,376066,575828,65.3
227,MO-3,MO,Missouri,3,324608,602748,53.9
228,MO-4,MO,Missouri,4,293316,584925,50.1
229,MO-5,MO,Missouri,5,283785,573775,49.5
230,MO-6,MO,Missouri,6,305409,583457,52.3
231,MO-7,MO,Missouri,7,296455,595559,49.8
232,MO-8,MO,Missouri,8,264399,567717,46.6
233,MT-At-large,MT,Montana,At-large,504421,823668,61.2
234,NE-1,NE,Nebraska,1,234781,473676,49.6
235,NE-2,NE,Nebraska,2,248485,467041,53.2
236,NE-3,NE,Nebraska,3,213304,439543,48.5
237,NV-1,NV,Nevada,1,152201,418811,36.3
238,NV-2,NV,Nevada,2,287537,531489,54.1
239,NV-3,NV,Nevada,3,286168,607915,47.1
240,NV-4,NV,Nevada,4,234868,516951,45.4
241,NH-1,NH,New Hampshire,1,291039,540224,53.9
242,NH-2,NH,New Hampshire,2,279705,529588,52.8
243,NJ-1,NJ,New Jersey,1,263418,542034,48.6
244,NJ-2,NJ,New Jersey,2,258363,531339,48.6
245,NJ-3,NJ,New Jersey,3,306875,570276,53.8
246,NJ-4,NJ,New Jersey,4,294348,539643,54.5
247,NJ-5,NJ,New Jersey,5,301823,527932,57.2
248,NJ-6,NJ,New Jersey,6,221195,502463,44.0
249,NJ-7,NJ,New Jersey,7,322742,527076,61.2
250,NJ-8,NJ,New Jersey,8,153455,425604,36.1
251,NJ-9,NJ,New Jersey,9,200416,481499,41.6
252,NJ-10,NJ,New Jersey,10,200159,496051,40.4
253,NJ-11,NJ,New Jersey,11,323574,548734,59.0
254,NJ-12,NJ,New Jersey,12,252375,505683,49.9
255,NM-1,NM,New Mexico,1,249162,514775,48.4
256,NM-2,NM,New Mexico,2,199256,484702,41.1
257,NM-3,NM,New Mexico,3,244893,507907,48.2
258,NY-1,NY,New York,1,274427,530436,51.7
259,NY-2,NY,New York,2,245926,515987,47.7
260,NY-3,NY,New York,3,273130,521235,52.4
261,NY-4,NY,New York,4,267191,506457,52.8
262,NY-5,NY,New York,5,186325,501784,37.1
263,NY-6,NY,New York,6,149540,448065,33.4
264,NY-7,NY,New York,7,164835,446196,36.9
265,NY-8,NY,New York,8,204768,540660,37.9
266,NY-9,NY,New York,9,207844,486880,42.7
267,NY-10,NY,New York,10,216272,473542,45.7
268,NY-11,NY,New York,11,195100,500998,38.9
269,NY-12,NY,New York,12,256239,530252,48.3
270,NY-13,NY,New York,13,197200,505003,39.0
271,NY-14,NY,New York,14,146272,392398,37.3
272,NY-15,NY,New York,15,133913,410819,32.6
273,NY-16,NY,New York,16,226338,498243,45.4
274,NY-17,NY,New York,17,257221,502861,51.2
275,NY-18,NY,New York,18,261321,524373,49.8
276,NY-19,NY,New York,19,293570,553713,53.0
277,NY-20,NY,New York,20,277066,557251,49.7
278,NY-21,NY,New York,21,239125,551303,43.4
279,NY-22,NY,New York,22,255100,539437,47.3
280,NY-23,NY,New York,23,245899,544564,45.2
281,NY-24,NY,New York,24,265156,539797,49.1
282,NY-25,NY,New York,25,275641,543698,50.7
283,NY-26,NY,New York,26,242371,539694,44.9
284,NY-27,NY,New York,27,293095,564383,51.9
285,NC-1,NC,North Carolina,1,272675,566173,48.2
286,NC-2,NC,North Carolina,2,331704,601142,55.2
287,NC-3,NC,North Carolina,3,187901,579504,32.4
288,NC-4,NC,North Carolina,4,341403,624834,54.6
289,NC-5,NC,North Carolina,5,280385,572721,49.0
290,NC-6,NC,North Carolina,6,284360,567392,50.1
291,NC-7,NC,North Carolina,7,282312,613510,46.0
292,NC-8,NC,North Carolina,8,255521,581896,43.9
293,NC-9,NC,North Carolina,9,0,561804,0.0
294,NC-10,NC,North Carolina,10,278228,585102,47.6
295,NC-11,NC,North Carolina,11,300666,604505,49.7
296,NC-12,NC,North Carolina,12,279138,591843,47.2
297,NC-13,NC,North Carolina,13,286316,579274,49.4
298,ND-At-large,ND,North Dakota,At-large,321532,567351,56.7
299,OH-1,OH,Ohio,1,300871,541695,55.5
300,OH-2,OH,Ohio,2,289661,557971,51.9
301,OH-3,OH,Ohio,3,246677,560963,44.0
302,OH-4,OH,Ohio,4,257405,542874,47.4
303,OH-5,OH,Ohio,5,283617,549171,51.6
304,OH-6,OH,Ohio,6,249490,545803,45.7
305,OH-7,OH,Ohio,7,260653,557024,46.8
306,OH-8,OH,Ohio,8,261133,546406,47.8
307,OH-9,OH,Ohio,9,231937,545749,42.5
308,OH-10,OH,Ohio,10,281726,552514,51.0
309,OH-11,OH,Ohio,11,250660,524803,47.8
310,OH-12,OH,Ohio,12,341647,585940,58.3
311,OH-13,OH,Ohio,13,251370,559931,44.9
312,OH-14,OH,Ohio,14,307358,553668,55.5
313,OH-15,OH,Ohio,15,292443,586092,49.9
314,OH-16,OH,Ohio,16,299710,553316,54.2
315,OK-1,OK,Oklahoma,1,253171,565812,44.7
316,OK-2,OK,Oklahoma,2,216002,564213,38.3
317,OK-3,OK,Oklahoma,3,234065,571661,40.9
318,OK-4,OK,Oklahoma,4,236638,589702,40.1
319,OK-5,OK,Oklahoma,5,238960,561277,42.6
320,OR-1,OR,Oregon,1,363249,606198,59.9
321,OR-2,OR,Oregon,2,368709,619186,59.5
322,OR-3,OR,Oregon,3,384326,627716,61.2
323,OR-4,OR,Oregon,4,372893,638548,58.4
324,OR-5,OR,Oregon,5,358469,606523,59.1
325,PA-1,PA,Pennsylvania,1,329798,544860,60.5
326,PA-2,PA,Pennsylvania,2,201982,496510,40.7
327,PA-3,PA,Pennsylvania,3,307997,564612,54.6
328,PA-4,PA,Pennsylvania,4,332991,543723,61.2
329,PA-5,PA,Pennsylvania,5,304714,519983,58.6
330,PA-6,PA,Pennsylvania,6,301828,522912,57.7
331,PA-7,PA,Pennsylvania,7,263261,552078,47.7
332,PA-8,PA,Pennsylvania,8,248166,535133,46.4
333,PA-9,PA,Pennsylvania,9,248927,555775,44.8
334,PA-10,PA,Pennsylvania,10,291033,552761,52.7
335,PA-11,PA,Pennsylvania,11,277584,553568,50.1
336,PA-12,PA,Pennsylvania,12,243872,551022,44.3
337,PA-13,PA,Pennsylvania,13,253266,545111,46.5
338,PA-14,PA,Pennsylvania,14,261437,551164,47.4
339,PA-15,PA,Pennsylvania,15,243572,548615,44.4
340,PA-16,PA,Pennsylvania,16,262396,539710,48.6
341,PA-17,PA,Pennsylvania,17,325579,559285,58.2
342,PA-18,PA,Pennsylvania,18,231472,544390,42.5
343,RI-1,RI,Rhode Island,1,174083,395409,44.0
344,RI-2,RI,Rhode Island,2,199197,407668,48.9
345,SC-1,SC,South Carolina,1,287433,613912,46.8
346,SC-2,SC,South Carolina,2,257139,537342,47.9
347,SC-3,SC,South Carolina,3,226204,534772,42.3
348,SC-4,SC,South Carolina,4,243950,533533,45.7
349,SC-5,SC,South Carolina,5,248579,552247,45.0
350,SC-6,SC,South Carolina,6,206433,506843,40.7
351,SC-7,SC,South Carolina,7,239554,571428,41.9
352,SD-At-large,SD,South Dakota,At-large,335965,647089,51.9
353,TN-1,TN,Tennessee,1,224282,563918,39.8
354,TN-2,TN,Tennessee,2,262134,583056,45.0
355,TN-3,TN,Tennessee,3,245765,571456,43.0
356,TN-4,TN,Tennessee,4,232451,590540,39.4
357,TN-5,TN,Tennessee,5,262248,563797,46.5
358,TN-6,TN,Tennessee,6,248740,591603,42.0
359,TN-7,TN,Tennessee,7,254384,578288,44.0
360,TN-8,TN,Tennessee,8,248345,525277,47.3
361,TN-9,TN,Tennessee,9,181476,507231,35.8
362,TX-1,TX,Texas,1,232720,511974,45.5
363,TX-2,TX,Texas,2,263392,520180,50.6
364,TX-3,TX,Texas,3,312358,563318,55.4
365,TX-4,TX,Texas,4,249245,543354,45.9
366,TX-5,TX,Texas,5,209507,480610,43.6
367,TX-6,TX,Texas,6,256042,554709,46.2
368,TX-7,TX,Texas,7,243601,448262,54.3
369,TX-8,TX,Texas,8,273170,584039,46.8
370,TX-9,TX,Texas,9,153001,445634,34.3
371,TX-10,TX,Texas,10,307827,593629,51.9
372,TX-11,TX,Texas,11,220377,542570,40.6
373,TX-12,TX,Texas,12,268491,572411,46.9
374,TX-13,TX,Texas,13,207285,493390,42.0
375,TX-14,TX,Texas,14,234528,532153,44.1
376,TX-15,TX,Texas,15,164802,435170,37.9
377,TX-16,TX,Texas,16,181754,458940,39.6
378,TX-17,TX,Texas,17,237351,550601,43.1
379,TX-18,TX,Texas,18,184332,480387,38.4
380,TX-19,TX,Texas,19,201985,509891,39.6
381,TX-20,TX,Texas,20,171963,549483,31.3
382,TX-21,TX,Texas,21,353617,622228,56.8
383,TX-22,TX,Texas,22,297405,577164,51.5
384,TX-23,TX,Texas,23,210069,507547,41.4
385,TX-24,TX,Texas,24,263418,503766,52.3
386,TX-25,TX,Texas,25,304553,570238,53.4
387,TX-26,TX,Texas,26,312505,605249,51.6
388,TX-27,TX,Texas,27,207421,517267,40.1
389,TX-28,TX,Texas,28,139226,434305,32.1
390,TX-29,TX,Texas,29,117494,369239,31.8
391,TX-30,TX,Texas,30,183174,479082,38.2
392,TX-31,TX,Texas,31,286007,602236,47.5
393,TX-32,TX,Texas,32,275620,505867,54.5
394,TX-33,TX,Texas,33,119224,360226,33.1
395,TX-34,TX,Texas,34,143068,424863,33.7
396,TX-35,TX,Texas,35,194067,532967,36.4
397,TX-36,TX,Texas,36,221956,519385,42.7
398,UT-1,UT,Utah,1,254333,521517,48.8
399,UT-2,UT,Utah,2,270044,529608,51.0
400,UT-3,UT,Utah,3,258858,517848,50.0
401,UT-4,UT,Utah,4,269271,518368,51.9
402,VT-At-large,VT,Vermont,At-large,278230,500274,55.6
403,VA-1,VA,Virginia,1,332101,590281,56.3
404,VA-2,VA,Virginia,2,273400,559397,48.9
405,VA-3,VA,Virginia,3,217722,559137,38.9
406,VA-4,VA,Virginia,4,299854,579606,51.7
407,VA-5,VA,Virginia,5,310926,578531,53.7
408,VA-6,VA,Virginia,6,281377,582756,48.3
409,VA-7,VA,Virginia,7,349803,588061,59.5
410,VA-8,VA,Virginia,8,324748,533417,60.9
411,VA-9,VA,Virginia,9,246980,567315,43.5
412,VA-10,VA,Virginia,10,367795,565197,65.1
413,VA-11,VA,Virginia,11,308250,509988,60.4
414,WA-1,WA,Washington,1,332743,519555,64.0
415,WA-2,WA,Washington,2,294833,558321,52.8
416,WA-3,WA,Washington,3,307226,544994,56.4
417,WA-4,WA,Washington,4,225336,443137,50.9
418,WA-5,WA,Washington,5,320347,551532,58.1
419,WA-6,WA,Washington,6,323086,570991,56.6
420,WA-7,WA,Washington,7,394681,600321,65.7
421,WA-8,WA,Washington,8,313057,522952,59.9
422,WA-9,WA,Washington,9,240567,499184,48.2
423,WA-10,WA,Washington,10,270075,544552,49.6
424,WV-1,WV,West Virginia,1,198214,486327,40.8
425,WV-2,WV,West Virginia,2,204792,487208,42.0
426,WV-3,WV,West Virginia,3,174985,457623,38.2
427,WI-1,WI,Wisconsin,1,325317,539789,60.3
428,WI-2,WI,Wisconsin,2,317295,577976,54.9
429,WI-3,WI,Wisconsin,3,314989,566700,55.6
430,WI-4,WI,Wisconsin,4,273087,493143,55.4
431,WI-5,WI,Wisconsin,5,364288,558805,65.2
432,WI-6,WI,Wisconsin,6,325065,556485,58.4
433,WI-7,WI,Wisconsin,7,322840,552651,58.4
434,WI-8,WI,Wisconsin,8,328774,556205,59.1
435,WY-At-large,WY,Wyoming,At-large,205275,433644,47.3
